"species","plot","abundance"
"Racomitrium canescens","Plot_13",13
"Racomitrium canescens","Plot_20",3
"Teucrium botrys","Plot_4",2
"Teucrium botrys","Plot_9",2
"Teucrium botrys","Plot_11",3
"Teucrium botrys","Plot_13",2
"Teucrium botrys","Plot_41",2
"Artemisia pontica","Plot_23",2
"Peltigera sp.","Plot_46",3
"Artemisia austriaca","Plot_39",1
"Artemisia austriaca","Plot_46",1
"Teucrium montanum","Plot_33",1
"Rhytidium rugosum","Plot_37",3
"Rhytidium rugosum","Plot_39",1
"Rhytidium rugosum","Plot_45",1
"Rhytidium rugosum","Plot_46",3
"Rhytidium rugosum","Plot_50",3
"Tortula muralis","Plot_8",67
"Tortula muralis","Plot_22",2
"Tortula muralis","Plot_28",3
"Tortula muralis","Plot_37",3
"Melilotus officinalis","Plot_21",3
"Medicago prostrata","Plot_50",2
"Campanula rotundifolia aggr.","Plot_15",2
"Campanula rotundifolia aggr.","Plot_27",2
"Campanula rotundifolia aggr.","Plot_28",2
"Petrorhagia prolifera","Plot_41",13
"Petrorhagia prolifera","Plot_44",2
"Linum catharticum","Plot_42",2
"Scabiosa lucida","Plot_24",2
"Bromus hordeaceus","Plot_41",13
"Reseda lutea","Plot_35",1
"Hypnum cupressiforme","Plot_12",13
"Hypnum cupressiforme","Plot_22",3
"Hypnum cupressiforme","Plot_32",2
"Polytrichum piliferum","Plot_28",13
"Geranium robertianum","Plot_7",1
"Geranium robertianum","Plot_10",2
"Geranium robertianum","Plot_11",2
"Geranium robertianum","Plot_12",1
"Geranium robertianum","Plot_16",2
"Geranium robertianum","Plot_18",13
"Geranium robertianum","Plot_24",3
"Geranium robertianum","Plot_35",1
"Euphorbia cyparissias","Plot_9",2
"Euphorbia cyparissias","Plot_13",2
"Euphorbia cyparissias","Plot_15",2
"Euphorbia cyparissias","Plot_20",2
"Euphorbia cyparissias","Plot_21",2
"Euphorbia cyparissias","Plot_22",2
